"TOA5","WL_1","CR1000","42918","CR1000.Std.22","CPU:piezo.CR1","34260","BH_1"
"TIMESTAMP","RECORD","AVW_Avg(1,1)","AVW_Avg~2","AVW_Avg(2,1)","AVW_Avg~4","batt_volt","p_temp"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Smp","Smp"
"2014-07-11 15:00:00",0,9183.954,12.86,"NAN",-153.4,13.02,22.95
"2014-07-11 16:00:00",1,9184.71,12.86,"NAN",-152.9,13.01,23.99
"2014-07-11 17:00:00",2,9185.279,12.86,"NAN",-148.9,13.03,24.33
"2014-07-11 18:00:00",3,9184.72,13.28,"NAN","NAN",13.05,23.96
"2014-07-11 19:00:00",4,9185.956,12.92,"NAN","NAN",13.05,24.07
"2014-07-11 20:00:00",5,9185.608,12.86,"NAN",-152.3,13.05,24.3
"2014-07-11 21:00:00",6,9185.184,12.86,"NAN","NAN",13.06,24.33
"2014-07-11 22:00:00",7,9184.837,12.85,"NAN",-148.7,13.07,24.3
"2014-07-11 23:00:00",8,9184.705,12.85,"NAN",-150.9,13.07,24.25
"2014-07-12 00:00:00",9,9184.935,12.85,"NAN","NAN",13.08,24.19
"2014-07-12 01:00:00",10,9185.209,12.85,"NAN",-152.8,13.09,24.19
"2014-07-12 02:00:00",11,9185.736,12.85,"NAN","NAN",13.09,24.13
"2014-07-12 03:00:00",12,9186.748,12.86,"NAN",-152.8,13.09,24.1
"2014-07-12 04:00:00",13,9187.046,12.86,"NAN","NAN",13.1,24.07
"2014-07-12 05:00:00",14,9187.021,12.86,"NAN",-154.7,13.1,24.07
"2014-07-12 06:00:00",15,9187.164,12.86,"NAN",-149.7,13.1,24.01
"2014-07-12 07:00:00",16,9187.242,12.86,"NAN","NAN",13.1,24.04
"2014-07-12 08:00:00",17,9187.267,12.86,"NAN","NAN",13.1,24.04
"2014-07-12 09:00:00",18,9187.225,12.86,"NAN",-153.5,13.11,24.01
"2014-07-12 10:00:00",19,9187.305,12.86,"NAN","NAN",13.11,24.01
"2014-07-12 11:00:00",20,9187.32,12.86,"NAN",-153.7,13.11,24.01
"2014-07-12 12:00:00",21,9187.471,12.86,"NAN",-150,13.11,23.99
